name,code,url,description,price,type,panel,powersupply,width,depth,height,weight,trays,traysize,distancebetweentrays,voltage,electricpower,frequency,consumption,performance,performancetimes,features,featuredescription
BAKERLUX SHOP.Pro TOUCH,XEFR-03EU-ETDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03eu-etdv/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","2,110.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,800 mm,811 mm,425 mm,46 kg,3,600x400,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.4 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro TOUCH,XEFR-03EU-ETRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03eu-etrv/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","2,540.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,800 mm,811 mm,427 mm,46 kg,3,600x400,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.4 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform."
BAKERLUX SHOP.Pro TOUCH,XEFR-03EU-ETDP,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03eu-etdp/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","2,130.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,800 mm,811 mm,425 mm,46 kg,3,600x400,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.4 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro LED,XEFR-03EU-ELDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-led-xefr-03eu-eldv/,BAKERLUX SHOP.ProLEDis the perfect solution for users looking for an easy-to-use tool that can also provide answers to the needs of pastry.,"1,930.00",Commercial convection ovens with humidity,Control panel with 7-segment display,Electric,800 mm,811 mm,425 mm,46 kg,3,600x400,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.4 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform."
BAKERLUX SHOP.Pro LED,XEFR-03EU-ELDP,https://unox.com/en_fr/ovens/bakerlux-shoppro-led-xefr-03eu-eldp/,BAKERLUX SHOP.ProLEDis the perfect solution for users looking for an easy-to-use tool that can also provide answers to the needs of pastry.,"1,950.00",Commercial convection ovens with humidity,Control panel with 7-segment display,Electric,800 mm,811 mm,425 mm,46 kg,3,600x400,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.4 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform."
BAKERLUX SHOP.Pro GO,XEFR-03EU-EGDN,https://unox.com/en_fr/ovens/bakerlux-shoppro-go-xefr-03eu-egdn/,BAKERLUX SHOP.Pro GOis a tireless convection oven designed to efficiently bake frozen croissants and bread.,"1,800.00",Commercial convection ovens,Control panel with 7-segment display,Electric,800 mm,811 mm,425 mm,46 kg,3,600x400,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.4 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,AIR.Plus","Extracting humidity for maximum flavour.,Transmit, unite, transform."
SPEED.Pro,XESR-03HS-EDDN,https://unox.com/en_fr/ovens/speedpro-xesr-03hs-eddn/,"SPEED.Prois the first ever baking speed oven: a convection oven and a speed oven in a single piece of equipment. Small footprint, maximum profit.","7,600.00",Commercial baking speed ovens,"6"" Touch control panel",Electric,600 mm,797 mm,541 mm,89 kg,3,460x330,75 mm,380-415VV 3N~ / 220-240VV 3~ / 220-240VV 1N~,"6,6 kW",50 Hz,15.9 kWh/day,"36danish pastries,18midi baguettes,27croissants,27mini strudels,4toasted croissant sandwich,250 grchicken wings ,250 grlasagna,4toasted sandwiches","20 minutes,18 minutes,16 minutes,25 minutes,90 seconds,110 seconds,100 seconds,75 seconds","DDC.Ai,DDC.App,DDC.Unox.com,DDC.Stats","Your virtual consultant.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
SPEED.Pro,XESR-03HS-MDDN,https://unox.com/en_fr/ovens/speedpro-xesr-03hs-mddn/,"SPEED.Prois the first ever baking speed oven: a convection oven and a speed oven in a single piece of equipment. Small footprint, maximum profit.","7,600.00",Commercial baking speed ovens,"6"" Touch control panel",Electric,600 mm,797 mm,541 mm,89 kg,3,460x330,75 mm,220-240V 1N~,"3,6 kW",50 Hz,15.9 kWh/day,"36danish pastries,18midi baguettes,27croissants,27mini strudels,4toasted croissant sandwich,250 grchicken wings ,250 grlasagna,4toasted sandwiches","20 minutes,18 minutes,16 minutes,25 minutes,90 seconds,110 seconds,100 seconds,75 seconds","DDC.Ai,DDC.App,DDC.Unox.com,DDC.Stats","Your virtual consultant.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX & LINEMISS MANUAL,XFT113,https://unox.com/en_fr/ovens/bakerlux-linemiss-manual-xft113/,BAKERLUX & LINEMISSovens are designed for professionals that require a highly productive bakery and pastry shop with nothing superfluous. The perfect combination of efficiency and simplicity. In less than a square meter.,950.00,Commercial convection ovens with humidity,Knob,Electric,600 mm,655 mm,429 mm,25 kg,3,460x330,75 mm,220-240V 1~,3 kW,50 / 60 Hz,,"24 pcsrosetta bread,6 pcssheet pan pizzas,35 pcsshortbread biscuits,48 pcsstuffed danishes,30 pcsbaguette  of sea bream,24 pcs sponge cake tin","16 minutes,22 minutes,16 minutes,20 minutes,18 minutes,28 minutes",,
BAKERLUX & LINEMISS MANUAL,XFT183,https://unox.com/en_fr/ovens/bakerlux-linemiss-manual-xft183/,BAKERLUX & LINEMISSovens are designed for professionals that require a highly productive bakery and pastry shop with nothing superfluous. The perfect combination of efficiency and simplicity. In less than a square meter.,"1,410.00",Commercial convection ovens with humidity,Knob,Electric,800 mm,774 mm,429 mm,40 kg,3,600x400,75 mm,220-240V 1~,"3,3 kW",50 / 60 Hz,,"24 pcsrosetta bread,6 pcssheet pan pizzas,35 pcsshortbread biscuits,48 pcsstuffed danishes,30 pcsbaguette  of sea bream,24 pcs sponge cake tin","16 minutes,22 minutes,16 minutes,20 minutes,18 minutes,28 minutes",,
LINEMICRO MANUAL,XF003,https://unox.com/en_fr/ovens/linemicro-manual-xf003/,LINEMICROare the compact ovens designed as a support for the simplest confectionery/bakery processes and to bake-off frozen bakery products.,650.00,Commercial convection ovens,Knob,Electric,480 mm,523 mm,402 mm,16 kg,3,342x242,70 mm,220-240V 1~,"2,7 kW",50 / 60 Hz,,,,,
LINEMICRO MANUAL,XF013,https://unox.com/en_fr/ovens/linemicro-manual-xf013/,LINEMICROare the compact ovens designed as a support for the simplest confectionery/bakery processes and to bake-off frozen bakery products.,700.00,Commercial convection ovens,Knob,Electric,600 mm,587 mm,402 mm,20 kg,3,460x330,70 mm,220-240V 1~,"2,7 kW",50 / 60 Hz,,,,,
LINEMICRO MANUAL,XF033,https://unox.com/en_fr/ovens/linemicro-manual-xf033/,LINEMICROare the compact ovens designed as a support for the simplest confectionery/bakery processes and to bake-off frozen bakery products.,"1,320.00",Commercial convection ovens,Knob,Electric,800 mm,707 mm,472 mm,44 kg,3,600x400,90 mm,220-240V 1~,"3,2 kW",50 / 60 Hz,,,,,
BAKERTOP MIND.Maps COUNTERTOP PLUS,XEBC-04EU-EPRM,https://unox.com/en_fr/ovens/bakertop-mindmaps-plus-xebc-04eu-eprm/,BAKERTOP MIND.Maps PLUSis the intelligent and self-cleaning combi oven for bakery and confectionery. Automatic baking cycles and intelligent functions for always impeccable results.,"5,700.00",Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,860 mm,967 mm,675 mm,95 kg,4,600x400,80 mm,380-415V 3N~ / 220-240V 3~ / 220-240V 1~,"10,6 kW",50 / 60 Hz,13.4 kWh/day,"Full loadof croissants,Full loadof baguettes,Full loadof choux pastry,Full loadof panettone cakes (0.7 kg),Full loadof sponge cake,Full loadof puff pastry,Full loadof high crust pizza,Full loadof macarons","16 minutes,18 minutes,25 minutes,45 minutes,30 minutes,20 minutes,18 minutes,13 minutes","CLIMALUX,DRY.Plus,STEAM.Plus,AIR.Plus,DRY.Maxi,STEAM.Maxi,AIR.Maxi,EFFICENT.Power,ADAPTIVE.Cooking,CLIMALUX,SMART.Preheating,AUTO.Soft,SENSE.Klean,AUTO.Matic,DDC.Ai,DDC.App,DDC.Unox.com,DDC.Stats","Total humidity control.,Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Humidity gives way to flavour.,The power of steam is in your hands.,Conducts, unites, transforms.,Power and efficiency.,Perfect results. Every time.,Total humidity control.,Intelligent preheating.,Gentle cooking function.,Intelligent cleaning.,Automatic door opening.,Your virtual consultant.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERTOP MIND.Maps COUNTERTOP ONE,XEBC-04EU-E1RM,https://unox.com/en_fr/ovens/bakertop-mindmaps-one-xebc-04eu-e1rm/,BAKERTOP MIND.Maps ONEis the combi oven for pastry and bread making: perfect and uniform baking with any foodload. Intuitive programming and possibility to memorize 364 cooking processes.,"4,700.00",Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,860 mm,967 mm,675 mm,90 kg,4,600x400,80 mm,380-415V 3N~ / 220-240V 3~ / 220-240V 1N~,"7,4 kW",50 / 60 Hz,14.5 kWh/day,"Full loadof croissants,Full loadof baguettes,Full loadof choux pastry,Full loadof panettone cakes (0.7 kg),Full loadof puff pastry,Full loadof high crust pizza,Full loadof macarons","18 minutes,20 minutes,27 minutes,48 minutes,22 minutes,20 minutes,14 minutes","CLIMALUX,DRY.Plus,STEAM.Plus,AIR.Plus,DRY.Maxi,STEAM.Maxi,AIR.Maxi,EFFICENT.Power,DDC.Ai,DDC.App,DDC.Unox.com,DDC.Stats","Total humidity control.,Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Humidity gives way to flavour.,The power of steam is in your hands.,Conducts, unites, transforms.,Power and efficiency.,Your virtual consultant.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro MASTER,XEFR-04HS-EMRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-master-xefr-04hs-emrv/,"BAKERLUX SHOP.ProMASTERputs the exclamation mark on cooking performance, advanced possibilities of automatic programs, artificial intelligence and internet connection. All this within your commercial space.","2,360.00",Commercial convection ovens with humidity,"7"" Touch control panel",Electric,600 mm,669 mm,502 mm,39 kg,4,460x330,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.6 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,EFFICENT.Power,ADAPTIVE.Cooking,CLIMALUX,SMART.Preheating,AUTO.Soft,AUTO.Matic,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Power and efficiency.,Perfect results. Every time.,Total humidity control.,Intelligent preheating.,Gentle cooking function.,Automatic door opening.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro TOUCH,XEFR-04HS-ETRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-04hs-etrv/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","2,050.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600 mm,669 mm,502 mm,39 kg,4,460x330,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.6 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro TOUCH,XEFR-04HS-ETDP,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-04hs-etdp/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","1,720.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600 mm,669 mm,500 mm,39 kg,4,460x330,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.6 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro TOUCH,XEFR-04HS-ETDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-04hs-etdv/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","1,700.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600 mm,669 mm,500 mm,39 kg,4,460x330,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.6 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro LED,XEFR-04HS-ELDP,https://unox.com/en_fr/ovens/bakerlux-shoppro-led-xefr-04hs-eldp/,BAKERLUX SHOP.ProLEDis the perfect solution for users looking for an easy-to-use tool that can also provide answers to the needs of pastry.,"1,540.00",Commercial convection ovens with humidity,Control panel with 7-segment display,Electric,600 mm,669 mm,500 mm,39 kg,4,460x330,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.6 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform."
BAKERLUX SHOP.Pro LED,XEFR-04HS-ELDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-led-xefr-04hs-eldv/,BAKERLUX SHOP.ProLEDis the perfect solution for users looking for an easy-to-use tool that can also provide answers to the needs of pastry.,"1,520.00",Commercial convection ovens with humidity,Control panel with 7-segment display,Electric,600 mm,669 mm,500 mm,39 kg,4,460x330,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.6 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform."
